track,sut,condition,policy,ability,n,pass_rate,avg_latency_s
en_subset,kanana_nano,no_node,advisory,ABS,20,0.0,1.902
en_subset,kanana_nano,no_node,advisory,ALL,100,0.0,1.993
en_subset,kanana_nano,no_node,advisory,IE,20,0.0,2.087
en_subset,kanana_nano,no_node,advisory,KU,20,0.0,2.004
en_subset,kanana_nano,no_node,advisory,MR,20,0.0,1.954
en_subset,kanana_nano,no_node,advisory,TR,20,0.0,2.016
en_subset,kanana_nano,oracle,advisory,ABS,20,0.05,1.956
en_subset,kanana_nano,oracle,advisory,ALL,100,0.01,1.679
en_subset,kanana_nano,oracle,advisory,IE,20,0.0,1.236
en_subset,kanana_nano,oracle,advisory,KU,20,0.0,1.777
en_subset,kanana_nano,oracle,advisory,MR,20,0.0,2.188
en_subset,kanana_nano,oracle,advisory,TR,20,0.0,1.236
en_subset,kanana_nano,retrieval,advisory,ABS,20,0.0,2.188
en_subset,kanana_nano,retrieval,advisory,ALL,100,0.0,2.072
en_subset,kanana_nano,retrieval,advisory,IE,20,0.0,2.035
en_subset,kanana_nano,retrieval,advisory,KU,20,0.0,2.431
en_subset,kanana_nano,retrieval,advisory,MR,20,0.0,2.183
en_subset,kanana_nano,retrieval,advisory,TR,20,0.0,1.523
en_subset,qwen25_3b,no_node,advisory,ABS,20,0.05,1.648
en_subset,qwen25_3b,no_node,advisory,ALL,100,0.01,1.745
en_subset,qwen25_3b,no_node,advisory,IE,20,0.0,1.662
en_subset,qwen25_3b,no_node,advisory,KU,20,0.0,1.726
en_subset,qwen25_3b,no_node,advisory,MR,20,0.0,1.737
en_subset,qwen25_3b,no_node,advisory,TR,20,0.0,1.952
en_subset,qwen25_3b,oracle,advisory,ABS,20,0.0,1.429
en_subset,qwen25_3b,oracle,advisory,ALL,100,0.0,1.534
en_subset,qwen25_3b,oracle,advisory,IE,20,0.0,1.248
en_subset,qwen25_3b,oracle,advisory,KU,20,0.0,1.733
en_subset,qwen25_3b,oracle,advisory,MR,20,0.0,1.711
en_subset,qwen25_3b,oracle,advisory,TR,20,0.0,1.55
en_subset,qwen25_3b,retrieval,advisory,ABS,20,0.0,1.498
en_subset,qwen25_3b,retrieval,advisory,ALL,100,0.0,1.667
en_subset,qwen25_3b,retrieval,advisory,IE,20,0.0,1.311
en_subset,qwen25_3b,retrieval,advisory,KU,20,0.0,2.136
en_subset,qwen25_3b,retrieval,advisory,MR,20,0.0,1.512
en_subset,qwen25_3b,retrieval,advisory,TR,20,0.0,1.878
ko_native,kanana_nano,no_node,advisory,ABS,10,0.0,2.83
ko_native,kanana_nano,no_node,advisory,ALL,70,0.0469,2.282
ko_native,kanana_nano,no_node,advisory,IE,19,0.0526,2.159
ko_native,kanana_nano,no_node,advisory,KU,13,0.0,2.137
ko_native,kanana_nano,no_node,advisory,MR,7,0.0,2.089
ko_native,kanana_nano,no_node,advisory,REFL,6,,2.125
ko_native,kanana_nano,no_node,advisory,TR,15,0.1333,2.35
