track,sut,condition,policy,ability,n,pass_rate,avg_latency_s
en_subset,bllossom_8b,no_node,advisory,ABS,20,0.0,4.9
en_subset,bllossom_8b,no_node,advisory,ALL,100,0.0,4.902
en_subset,bllossom_8b,no_node,advisory,IE,20,0.0,4.903
en_subset,bllossom_8b,no_node,advisory,KU,20,0.0,4.905
en_subset,bllossom_8b,no_node,advisory,MR,20,0.0,4.901
en_subset,bllossom_8b,no_node,advisory,TR,20,0.0,4.902
en_subset,bllossom_8b,oracle,advisory,ABS,20,0.05,5.96
en_subset,bllossom_8b,oracle,advisory,ALL,100,0.01,5.881
en_subset,bllossom_8b,oracle,advisory,IE,20,0.0,5.267
en_subset,bllossom_8b,oracle,advisory,KU,20,0.0,5.789
en_subset,bllossom_8b,oracle,advisory,MR,20,0.0,6.457
en_subset,bllossom_8b,oracle,advisory,TR,20,0.0,5.933
en_subset,bllossom_8b,oracle,reflective,ABS,20,0.2,5.967
en_subset,bllossom_8b,oracle,reflective,ALL,100,0.04,5.892
en_subset,bllossom_8b,oracle,reflective,IE,20,0.0,5.278
en_subset,bllossom_8b,oracle,reflective,KU,20,0.0,5.799
en_subset,bllossom_8b,oracle,reflective,MR,20,0.0,6.47
en_subset,bllossom_8b,oracle,reflective,TR,20,0.0,5.944
en_subset,bllossom_8b,retrieval,advisory,ABS,20,0.1,6.018
en_subset,bllossom_8b,retrieval,advisory,ALL,100,0.02,6.303
en_subset,bllossom_8b,retrieval,advisory,IE,20,0.0,6.023
en_subset,bllossom_8b,retrieval,advisory,KU,20,0.0,6.695
en_subset,bllossom_8b,retrieval,advisory,MR,20,0.0,6.599
en_subset,bllossom_8b,retrieval,advisory,TR,20,0.0,6.179
en_subset,bllossom_8b,retrieval,reflective,ABS,20,0.35,6.027
en_subset,bllossom_8b,retrieval,reflective,ALL,100,0.07,6.313
en_subset,bllossom_8b,retrieval,reflective,IE,20,0.0,6.033
en_subset,bllossom_8b,retrieval,reflective,KU,20,0.0,6.704
en_subset,bllossom_8b,retrieval,reflective,MR,20,0.0,6.609
en_subset,bllossom_8b,retrieval,reflective,TR,20,0.0,6.19
en_subset,hclova_seed_15b,no_node,advisory,ABS,20,0.0,1.739
en_subset,hclova_seed_15b,no_node,advisory,ALL,100,0.0,1.753
en_subset,hclova_seed_15b,no_node,advisory,IE,20,0.0,1.744
en_subset,hclova_seed_15b,no_node,advisory,KU,20,0.0,1.741
en_subset,hclova_seed_15b,no_node,advisory,MR,20,0.0,1.743
en_subset,hclova_seed_15b,no_node,advisory,TR,20,0.0,1.799
en_subset,hclova_seed_15b,oracle,advisory,ABS,20,0.0,1.999
en_subset,hclova_seed_15b,oracle,advisory,ALL,100,0.0,1.983
en_subset,hclova_seed_15b,oracle,advisory,IE,20,0.0,1.786
en_subset,hclova_seed_15b,oracle,advisory,KU,20,0.0,1.917
en_subset,hclova_seed_15b,oracle,advisory,MR,20,0.0,2.217
en_subset,hclova_seed_15b,oracle,advisory,TR,20,0.0,1.995
en_subset,hclova_seed_15b,oracle,reflective,ABS,20,0.05,2.001
en_subset,hclova_seed_15b,oracle,reflective,ALL,100,0.01,1.986
en_subset,hclova_seed_15b,oracle,reflective,IE,20,0.0,1.787
en_subset,hclova_seed_15b,oracle,reflective,KU,20,0.0,1.92
en_subset,hclova_seed_15b,oracle,reflective,MR,20,0.0,2.221
en_subset,hclova_seed_15b,oracle,reflective,TR,20,0.0,1.998
en_subset,hclova_seed_15b,retrieval,advisory,ABS,20,0.0,2.046
en_subset,hclova_seed_15b,retrieval,advisory,ALL,100,0.0,2.181
en_subset,hclova_seed_15b,retrieval,advisory,IE,20,0.0,2.071
en_subset,hclova_seed_15b,retrieval,advisory,KU,20,0.0,2.38
en_subset,hclova_seed_15b,retrieval,advisory,MR,20,0.0,2.296
en_subset,hclova_seed_15b,retrieval,advisory,TR,20,0.0,2.114
en_subset,hclova_seed_15b,retrieval,reflective,ABS,20,0.05,2.048
en_subset,hclova_seed_15b,retrieval,reflective,ALL,100,0.01,2.186
en_subset,hclova_seed_15b,retrieval,reflective,IE,20,0.0,2.075
en_subset,hclova_seed_15b,retrieval,reflective,KU,20,0.0,2.384
en_subset,hclova_seed_15b,retrieval,reflective,MR,20,0.0,2.306
en_subset,hclova_seed_15b,retrieval,reflective,TR,20,0.0,2.116
en_subset,hclova_seed_15b_int4,no_node,advisory,ABS,20,0.0,3.328
en_subset,hclova_seed_15b_int4,no_node,advisory,ALL,100,0.0,3.327
en_subset,hclova_seed_15b_int4,no_node,advisory,IE,20,0.0,3.326
en_subset,hclova_seed_15b_int4,no_node,advisory,KU,20,0.0,3.334
en_subset,hclova_seed_15b_int4,no_node,advisory,MR,20,0.0,3.318
en_subset,hclova_seed_15b_int4,no_node,advisory,TR,20,0.0,3.327
en_subset,hclova_seed_15b_int4,oracle,advisory,ABS,20,0.1,3.461
en_subset,hclova_seed_15b_int4,oracle,advisory,ALL,100,0.02,3.447
en_subset,hclova_seed_15b_int4,oracle,advisory,IE,20,0.0,3.35
en_subset,hclova_seed_15b_int4,oracle,advisory,KU,20,0.0,3.431
en_subset,hclova_seed_15b_int4,oracle,advisory,MR,20,0.0,3.54
en_subset,hclova_seed_15b_int4,oracle,advisory,TR,20,0.0,3.456
en_subset,hclova_seed_15b_int4,oracle,reflective,ABS,20,0.05,3.464
en_subset,hclova_seed_15b_int4,oracle,reflective,ALL,100,0.01,3.447
en_subset,hclova_seed_15b_int4,oracle,reflective,IE,20,0.0,3.341
en_subset,hclova_seed_15b_int4,oracle,reflective,KU,20,0.0,3.434
en_subset,hclova_seed_15b_int4,oracle,reflective,MR,20,0.0,3.542
en_subset,hclova_seed_15b_int4,oracle,reflective,TR,20,0.0,3.456
en_subset,hclova_seed_15b_int4,retrieval,advisory,ABS,20,0.0,3.472
en_subset,hclova_seed_15b_int4,retrieval,advisory,ALL,100,0.0,3.523
en_subset,hclova_seed_15b_int4,retrieval,advisory,IE,20,0.0,3.486
en_subset,hclova_seed_15b_int4,retrieval,advisory,KU,20,0.0,3.6
en_subset,hclova_seed_15b_int4,retrieval,advisory,MR,20,0.0,3.563
en_subset,hclova_seed_15b_int4,retrieval,advisory,TR,20,0.0,3.496
en_subset,hclova_seed_15b_int4,retrieval,reflective,ABS,20,0.0,3.473
en_subset,hclova_seed_15b_int4,retrieval,reflective,ALL,100,0.0,3.519
en_subset,hclova_seed_15b_int4,retrieval,reflective,IE,20,0.0,3.465
en_subset,hclova_seed_15b_int4,retrieval,reflective,KU,20,0.0,3.595
en_subset,hclova_seed_15b_int4,retrieval,reflective,MR,20,0.0,3.566
en_subset,hclova_seed_15b_int4,retrieval,reflective,TR,20,0.0,3.498
en_subset,kanana_8b,no_node,advisory,ABS,20,0.05,2.509
en_subset,kanana_8b,no_node,advisory,ALL,100,0.01,2.545
en_subset,kanana_8b,no_node,advisory,IE,20,0.0,2.471
en_subset,kanana_8b,no_node,advisory,KU,20,0.0,2.454
en_subset,kanana_8b,no_node,advisory,MR,20,0.0,2.738
en_subset,kanana_8b,no_node,advisory,TR,20,0.0,2.553
en_subset,kanana_8b,oracle,advisory,ABS,20,0.05,3.857
en_subset,kanana_8b,oracle,advisory,ALL,100,0.01,3.402
en_subset,kanana_8b,oracle,advisory,IE,20,0.0,1.994
en_subset,kanana_8b,oracle,advisory,KU,20,0.0,3.264
en_subset,kanana_8b,oracle,advisory,MR,20,0.0,4.708
en_subset,kanana_8b,oracle,advisory,TR,20,0.0,3.188
en_subset,kanana_8b,oracle,reflective,ABS,20,0.0,3.307
en_subset,kanana_8b,oracle,reflective,ALL,100,0.0,3.195
en_subset,kanana_8b,oracle,reflective,IE,20,0.0,2.62
en_subset,kanana_8b,oracle,reflective,KU,20,0.0,3.134
en_subset,kanana_8b,oracle,reflective,MR,20,0.0,4.142
en_subset,kanana_8b,oracle,reflective,TR,20,0.0,2.774
en_subset,kanana_8b,retrieval,advisory,ABS,20,0.1,4.336
en_subset,kanana_8b,retrieval,advisory,ALL,100,0.02,4.198
en_subset,kanana_8b,retrieval,advisory,IE,20,0.0,3.74
en_subset,kanana_8b,retrieval,advisory,KU,20,0.0,4.711
en_subset,kanana_8b,retrieval,advisory,MR,20,0.0,4.891
en_subset,kanana_8b,retrieval,advisory,TR,20,0.0,3.31
en_subset,kanana_8b,retrieval,reflective,ABS,20,0.0,3.78
en_subset,kanana_8b,retrieval,reflective,ALL,100,0.0,3.894
en_subset,kanana_8b,retrieval,reflective,IE,20,0.0,3.274
en_subset,kanana_8b,retrieval,reflective,KU,20,0.0,4.574
en_subset,kanana_8b,retrieval,reflective,MR,20,0.0,4.42
en_subset,kanana_8b,retrieval,reflective,TR,20,0.0,3.421
en_subset,kanana_8b_int4,no_node,advisory,ABS,20,0.0,2.273
en_subset,kanana_8b_int4,no_node,advisory,ALL,100,0.0,2.307
en_subset,kanana_8b_int4,no_node,advisory,IE,20,0.0,2.325
en_subset,kanana_8b_int4,no_node,advisory,KU,20,0.0,2.261
en_subset,kanana_8b_int4,no_node,advisory,MR,20,0.0,2.537
en_subset,kanana_8b_int4,no_node,advisory,TR,20,0.0,2.138
en_subset,kanana_8b_int4,oracle,advisory,ABS,20,0.1,2.937
en_subset,kanana_8b_int4,oracle,advisory,ALL,100,0.02,2.9
en_subset,kanana_8b_int4,oracle,advisory,IE,20,0.0,2.017
en_subset,kanana_8b_int4,oracle,advisory,KU,20,0.0,2.806
en_subset,kanana_8b_int4,oracle,advisory,MR,20,0.0,4.011
en_subset,kanana_8b_int4,oracle,advisory,TR,20,0.0,2.728
en_subset,kanana_8b_int4,oracle,reflective,ABS,20,0.0,2.76
en_subset,kanana_8b_int4,oracle,reflective,ALL,100,0.0,2.769
en_subset,kanana_8b_int4,oracle,reflective,IE,20,0.0,2.249
en_subset,kanana_8b_int4,oracle,reflective,KU,20,0.0,2.621
en_subset,kanana_8b_int4,oracle,reflective,MR,20,0.0,3.83
en_subset,kanana_8b_int4,oracle,reflective,TR,20,0.0,2.385
en_subset,kanana_8b_int4,retrieval,advisory,ABS,20,0.0,3.503
en_subset,kanana_8b_int4,retrieval,advisory,ALL,100,0.0,3.663
en_subset,kanana_8b_int4,retrieval,advisory,IE,20,0.0,3.146
en_subset,kanana_8b_int4,retrieval,advisory,KU,20,0.0,3.9
en_subset,kanana_8b_int4,retrieval,advisory,MR,20,0.0,4.621
en_subset,kanana_8b_int4,retrieval,advisory,TR,20,0.0,3.145
en_subset,kanana_8b_int4,retrieval,reflective,ABS,20,0.0,3.058
en_subset,kanana_8b_int4,retrieval,reflective,ALL,100,0.0,3.444
en_subset,kanana_8b_int4,retrieval,reflective,IE,20,0.0,2.875
en_subset,kanana_8b_int4,retrieval,reflective,KU,20,0.0,3.832
en_subset,kanana_8b_int4,retrieval,reflective,MR,20,0.0,4.173
en_subset,kanana_8b_int4,retrieval,reflective,TR,20,0.0,3.283
en_subset,kanana_nano,no_node,advisory,ABS,20,0.0,2.113
en_subset,kanana_nano,no_node,advisory,ALL,100,0.0,2.178
en_subset,kanana_nano,no_node,advisory,IE,20,0.0,2.201
en_subset,kanana_nano,no_node,advisory,KU,20,0.0,2.139
en_subset,kanana_nano,no_node,advisory,MR,20,0.0,2.122
en_subset,kanana_nano,no_node,advisory,TR,20,0.0,2.314
en_subset,kanana_nano,oracle,advisory,ABS,20,0.05,2.099
en_subset,kanana_nano,oracle,advisory,ALL,100,0.01,1.767
en_subset,kanana_nano,oracle,advisory,IE,20,0.0,1.285
en_subset,kanana_nano,oracle,advisory,KU,20,0.0,1.869
en_subset,kanana_nano,oracle,advisory,MR,20,0.0,2.263
en_subset,kanana_nano,oracle,advisory,TR,20,0.0,1.319
en_subset,kanana_nano,oracle,reflective,ABS,20,0.05,1.561
en_subset,kanana_nano,oracle,reflective,ALL,100,0.01,1.329
en_subset,kanana_nano,oracle,reflective,IE,20,0.0,0.734
en_subset,kanana_nano,oracle,reflective,KU,20,0.0,1.345
en_subset,kanana_nano,oracle,reflective,MR,20,0.0,1.699
en_subset,kanana_nano,oracle,reflective,TR,20,0.0,1.304
en_subset,kanana_nano,retrieval,advisory,ABS,20,0.0,2.358
en_subset,kanana_nano,retrieval,advisory,ALL,100,0.0,2.169
en_subset,kanana_nano,retrieval,advisory,IE,20,0.0,2.124
en_subset,kanana_nano,retrieval,advisory,KU,20,0.0,2.469
en_subset,kanana_nano,retrieval,advisory,MR,20,0.0,2.292
en_subset,kanana_nano,retrieval,advisory,TR,20,0.0,1.6
en_subset,kanana_nano,retrieval,reflective,ABS,20,0.05,1.584
en_subset,kanana_nano,retrieval,reflective,ALL,100,0.01,1.734
en_subset,kanana_nano,retrieval,reflective,IE,20,0.0,1.422
en_subset,kanana_nano,retrieval,reflective,KU,20,0.0,2.126
en_subset,kanana_nano,retrieval,reflective,MR,20,0.0,2.054
en_subset,kanana_nano,retrieval,reflective,TR,20,0.0,1.484
en_subset,kanana_nano_int4,no_node,advisory,ABS,20,0.05,4.167
en_subset,kanana_nano_int4,no_node,advisory,ALL,100,0.01,3.979
en_subset,kanana_nano_int4,no_node,advisory,IE,20,0.0,3.839
en_subset,kanana_nano_int4,no_node,advisory,KU,20,0.0,3.798
en_subset,kanana_nano_int4,no_node,advisory,MR,20,0.0,3.844
en_subset,kanana_nano_int4,no_node,advisory,TR,20,0.0,4.249
en_subset,kanana_nano_int4,oracle,advisory,ABS,20,0.0,4.599
en_subset,kanana_nano_int4,oracle,advisory,ALL,100,0.0,3.681
en_subset,kanana_nano_int4,oracle,advisory,IE,20,0.0,2.946
en_subset,kanana_nano_int4,oracle,advisory,KU,20,0.0,4.045
en_subset,kanana_nano_int4,oracle,advisory,MR,20,0.0,4.158
en_subset,kanana_nano_int4,oracle,advisory,TR,20,0.0,2.659
en_subset,kanana_nano_int4,oracle,reflective,ABS,20,0.0,3.126
en_subset,kanana_nano_int4,oracle,reflective,ALL,100,0.0,2.614
en_subset,kanana_nano_int4,oracle,reflective,IE,20,0.0,1.446
en_subset,kanana_nano_int4,oracle,reflective,KU,20,0.0,3.016
en_subset,kanana_nano_int4,oracle,reflective,MR,20,0.0,3.529
en_subset,kanana_nano_int4,oracle,reflective,TR,20,0.0,1.951
en_subset,kanana_nano_int4,retrieval,advisory,ABS,20,0.0,4.199
en_subset,kanana_nano_int4,retrieval,advisory,ALL,100,0.0,4.108
en_subset,kanana_nano_int4,retrieval,advisory,IE,20,0.0,4.201
en_subset,kanana_nano_int4,retrieval,advisory,KU,20,0.0,4.543
en_subset,kanana_nano_int4,retrieval,advisory,MR,20,0.0,4.892
en_subset,kanana_nano_int4,retrieval,advisory,TR,20,0.0,2.703
en_subset,kanana_nano_int4,retrieval,reflective,ABS,20,0.0,3.615
en_subset,kanana_nano_int4,retrieval,reflective,ALL,100,0.0,3.166
en_subset,kanana_nano_int4,retrieval,reflective,IE,20,0.0,2.453
en_subset,kanana_nano_int4,retrieval,reflective,KU,20,0.0,3.567
en_subset,kanana_nano_int4,retrieval,reflective,MR,20,0.0,3.733
en_subset,kanana_nano_int4,retrieval,reflective,TR,20,0.0,2.463
en_subset,open_ko_8b,no_node,advisory,ABS,20,0.0,1.359
en_subset,open_ko_8b,no_node,advisory,ALL,100,0.0,1.647
en_subset,open_ko_8b,no_node,advisory,IE,20,0.0,1.795
en_subset,open_ko_8b,no_node,advisory,KU,20,0.0,2.078
en_subset,open_ko_8b,no_node,advisory,MR,20,0.0,1.366
en_subset,open_ko_8b,no_node,advisory,TR,20,0.0,1.637
en_subset,open_ko_8b,oracle,advisory,ABS,20,0.0,1.481
en_subset,open_ko_8b,oracle,advisory,ALL,100,0.0,1.724
en_subset,open_ko_8b,oracle,advisory,IE,20,0.0,1.259
en_subset,open_ko_8b,oracle,advisory,KU,20,0.0,2.619
en_subset,open_ko_8b,oracle,advisory,MR,20,0.0,2.076
en_subset,open_ko_8b,oracle,advisory,TR,20,0.0,1.185
en_subset,open_ko_8b,oracle,reflective,ABS,20,0.1,1.467
en_subset,open_ko_8b,oracle,reflective,ALL,100,0.02,1.556
en_subset,open_ko_8b,oracle,reflective,IE,20,0.0,1.026
en_subset,open_ko_8b,oracle,reflective,KU,20,0.0,1.748
en_subset,open_ko_8b,oracle,reflective,MR,20,0.0,2.355
en_subset,open_ko_8b,oracle,reflective,TR,20,0.0,1.183
en_subset,open_ko_8b,retrieval,advisory,ABS,20,0.1,1.869
en_subset,open_ko_8b,retrieval,advisory,ALL,100,0.02,2.781
en_subset,open_ko_8b,retrieval,advisory,IE,20,0.0,2.831
en_subset,open_ko_8b,retrieval,advisory,KU,20,0.0,3.989
en_subset,open_ko_8b,retrieval,advisory,MR,20,0.0,3.375
en_subset,open_ko_8b,retrieval,advisory,TR,20,0.0,1.841
en_subset,open_ko_8b,retrieval,reflective,ABS,20,0.15,1.908
en_subset,open_ko_8b,retrieval,reflective,ALL,100,0.03,2.552
en_subset,open_ko_8b,retrieval,reflective,IE,20,0.0,1.961
en_subset,open_ko_8b,retrieval,reflective,KU,20,0.0,3.59
en_subset,open_ko_8b,retrieval,reflective,MR,20,0.0,3.514
en_subset,open_ko_8b,retrieval,reflective,TR,20,0.0,1.785
en_subset,qwen25_3b,no_node,advisory,ABS,20,0.05,1.82
en_subset,qwen25_3b,no_node,advisory,ALL,100,0.01,2.109
en_subset,qwen25_3b,no_node,advisory,IE,20,0.0,2.01
en_subset,qwen25_3b,no_node,advisory,KU,20,0.0,2.074
en_subset,qwen25_3b,no_node,advisory,MR,20,0.0,2.44
en_subset,qwen25_3b,no_node,advisory,TR,20,0.0,2.2
en_subset,qwen25_3b,oracle,advisory,ABS,20,0.0,1.604
en_subset,qwen25_3b,oracle,advisory,ALL,100,0.0,1.798
en_subset,qwen25_3b,oracle,advisory,IE,20,0.0,1.46
en_subset,qwen25_3b,oracle,advisory,KU,20,0.0,2.1
en_subset,qwen25_3b,oracle,advisory,MR,20,0.0,2.052
en_subset,qwen25_3b,oracle,advisory,TR,20,0.0,1.772
en_subset,qwen25_3b,oracle,reflective,ABS,20,0.0,1.011
en_subset,qwen25_3b,oracle,reflective,ALL,100,0.0,1.151
en_subset,qwen25_3b,oracle,reflective,IE,20,0.0,0.718
en_subset,qwen25_3b,oracle,reflective,KU,20,0.0,1.508
en_subset,qwen25_3b,oracle,reflective,MR,20,0.0,1.574
en_subset,qwen25_3b,oracle,reflective,TR,20,0.0,0.945
en_subset,qwen25_3b,retrieval,advisory,ABS,20,0.0,1.597
en_subset,qwen25_3b,retrieval,advisory,ALL,100,0.0,1.889
en_subset,qwen25_3b,retrieval,advisory,IE,20,0.0,1.465
en_subset,qwen25_3b,retrieval,advisory,KU,20,0.0,2.401
en_subset,qwen25_3b,retrieval,advisory,MR,20,0.0,1.895
en_subset,qwen25_3b,retrieval,advisory,TR,20,0.0,2.088
en_subset,qwen25_3b,retrieval,reflective,ABS,20,0.0,0.981
en_subset,qwen25_3b,retrieval,reflective,ALL,100,0.0,1.343
en_subset,qwen25_3b,retrieval,reflective,IE,20,0.0,1.021
en_subset,qwen25_3b,retrieval,reflective,KU,20,0.0,1.885
en_subset,qwen25_3b,retrieval,reflective,MR,20,0.0,1.461
en_subset,qwen25_3b,retrieval,reflective,TR,20,0.0,1.366
en_subset,qwen25_3b_int4,no_node,advisory,ABS,20,0.0,3.496
en_subset,qwen25_3b_int4,no_node,advisory,ALL,100,0.0,4.072
en_subset,qwen25_3b_int4,no_node,advisory,IE,20,0.0,4.009
en_subset,qwen25_3b_int4,no_node,advisory,KU,20,0.0,4.409
en_subset,qwen25_3b_int4,no_node,advisory,MR,20,0.0,4.514
en_subset,qwen25_3b_int4,no_node,advisory,TR,20,0.0,3.933
en_subset,qwen25_3b_int4,oracle,advisory,ABS,20,0.0,3.134
en_subset,qwen25_3b_int4,oracle,advisory,ALL,100,0.0,3.463
en_subset,qwen25_3b_int4,oracle,advisory,IE,20,0.0,2.844
en_subset,qwen25_3b_int4,oracle,advisory,KU,20,0.0,3.918
en_subset,qwen25_3b_int4,oracle,advisory,MR,20,0.0,3.782
en_subset,qwen25_3b_int4,oracle,advisory,TR,20,0.0,3.636
en_subset,qwen25_3b_int4,oracle,reflective,ABS,20,0.0,1.784
en_subset,qwen25_3b_int4,oracle,reflective,ALL,100,0.0,2.254
en_subset,qwen25_3b_int4,oracle,reflective,IE,20,0.0,1.432
en_subset,qwen25_3b_int4,oracle,reflective,KU,20,0.0,2.955
en_subset,qwen25_3b_int4,oracle,reflective,MR,20,0.0,3.076
en_subset,qwen25_3b_int4,oracle,reflective,TR,20,0.0,2.025
en_subset,qwen25_3b_int4,retrieval,advisory,ABS,20,0.0,3.421
en_subset,qwen25_3b_int4,retrieval,advisory,ALL,100,0.0,3.821
en_subset,qwen25_3b_int4,retrieval,advisory,IE,20,0.0,3.575
en_subset,qwen25_3b_int4,retrieval,advisory,KU,20,0.0,4.529
en_subset,qwen25_3b_int4,retrieval,advisory,MR,20,0.0,4.009
en_subset,qwen25_3b_int4,retrieval,advisory,TR,20,0.0,3.571
en_subset,qwen25_3b_int4,retrieval,reflective,ABS,20,0.0,2.0
en_subset,qwen25_3b_int4,retrieval,reflective,ALL,100,0.0,2.446
en_subset,qwen25_3b_int4,retrieval,reflective,IE,20,0.0,2.052
