metric,group_type,group,value,n
position_consistency,overall,ALL,0.6468,1056
position_consistency,rubric,specificity,0.6023,264
position_consistency,rubric,non_directive,0.3409,264
position_consistency,rubric,emotional_attunement,0.8258,264
position_consistency,rubric,open_question,0.8182,264
position_consistency,judge,j1_gpt4o_mini,0.5985,528
position_consistency,judge,j2_claude_haiku,0.6951,528
positional_preference_A_share,overall,ALL,0.3847,2030
positional_preference_A_share,judge,j1_gpt4o_mini,0.3292,1042
positional_preference_A_share,judge,j2_claude_haiku,0.4433,988
positional_preference_A_share,rubric,specificity,0.4506,506
positional_preference_A_share,rubric,non_directive,0.1742,528
positional_preference_A_share,rubric,emotional_attunement,0.4507,497
positional_preference_A_share,rubric,open_question,0.4749,499
inter_judge_raw_agreement,overall,ALL,0.6212,528
inter_judge_cohen_kappa,overall,ALL,0.2569,528
inter_judge_raw_agreement,rubric,specificity,0.4924,132
inter_judge_cohen_kappa,rubric,specificity,0.2101,132
inter_judge_raw_agreement,rubric,non_directive,0.3485,132
inter_judge_cohen_kappa,rubric,non_directive,0.0156,132
inter_judge_raw_agreement,rubric,emotional_attunement,0.8106,132
inter_judge_cohen_kappa,rubric,emotional_attunement,0.4203,132
inter_judge_raw_agreement,rubric,open_question,0.8333,132
inter_judge_cohen_kappa,rubric,open_question,0.4927,132
